ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
36,New York,NY,36103,Suffolk County,36103110101,"Census Tract 1101.01; Suffolk County; New York",9.331652133556,3572,21,1216,99,1167,96,210,96,6,9,132,48,146,145,38,30,727,125,933,114,355,143,11,13,62,56,539,227,0,18,0,13,0,18,24,17,8,2,5.9,2.7,0.4,0.6,11.3,4,6.1,5.9,1.1,0.8,20.4,3.5,26.1,3.2,9.9,4,0.9,1.1,1.8,1.6,15.1,6.4,0,1.5,0,3.2,0,1.5,2.1,1.4,0.2,0.1,0.1039,0.0229,0.0448,0.3018,0.1125,0.5859,0.0279,0.6994,0.8399,0.3829,0.1093,0.4322,2.4637,0.4871,0.25,0.25,0.25,0,0,0,0.1005,0.3191,0.4196,0.0124,3.7192,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,113,145,135,148,144,108,68,47,0,13,0,13,153,94,39,42,9.7,11.8,3.8,4.2,4,3,1.9,1.3,0,1.1,0,1.1,4.3,2.6,1.1,1.2
36,New York,NY,36103,Suffolk County,36103110103,"Census Tract 1101.03; Suffolk County; New York",0.5928982312,2284,482,804,103,774,88,91,77,18,19,111,73,28,31,0,13,615,214,410,148,341,157,16,35,12,51,218,680,3,14,0,13,0,18,0,13,15,3,4,3.3,1.6,1.7,14.3,9.3,1.6,1.8,0,1.7,26.9,6,18,4.1,14.9,6.3,2.1,4.5,0.6,2.3,9.5,29.7,0.4,1.7,0,4.8,0,2.3,0,5,0.7,0.2,0.0472,0.0883,0.0967,0.0449,0,0.2771,0.0057,0.9082,0.347,0.7262,0.2345,0.2529,2.4688,0.4914,0.1599,0.1599,0.1599,0.1909,0,0,0,0.5602,0.7511,0.0403,3.6569,0.0249,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1339,10,15,4,9,190,135,24,23,0,13,0,13,0,13,0,13,1.3,2,0.2,0.4,8.3,5.8,1.1,1.1,0,1.7,0,1.7,0,1.7,0,1.7
36,New York,NY,36103,Suffolk County,36103110104,"Census Tract 1101.04; Suffolk County; New York",3.40534821113,2979,433,1046,166,967,150,40,31,40,33,142,67,61,56,42,40,378,63,845,184,56,38,9,19,106,106,423,562,0,18,0,13,0,18,59,97,90,11,1.4,1,2.5,2,14.7,6.5,3.3,3,1.4,1.4,12.7,2.7,28.4,3.5,1.9,1.3,0.9,2,3.9,3.9,14.2,18.8,0,1.7,0,3.7,0,1.9,6.1,9.3,3,0.6,0.0085,0.1719,0.1066,0.128,0.146,0.561,0.0249,0.2589,0.9021,0.0078,0.1093,0.5874,1.8655,0.1663,0.2331,0.2331,0.2331,0,0,0,0.2967,0.8046,1.1013,0.1053,3.7609,0.03,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3860,20,20,0,13,123,81,84,79,0,13,0,13,160,159,56,70,2.1,2.1,0,1.3,4.1,2.8,2.8,2.4,0,1.3,0,1.3,5.4,5,1.9,2.3
36,New York,NY,36103,Suffolk County,36103110200,"Census Tract 1102; Suffolk County; New York",1.616250771344,5167,782,2382,290,2268,279,536,200,180,165,413,151,235,198,47,44,1328,354,702,213,666,201,21,38,18,79,644,1064,107,108,0,19,29,49,84,63,20,3,10.4,3.5,5.3,4.7,18.2,6.3,6,4.9,0.9,0.9,25.7,6.9,13.6,3.1,12.9,4.3,0.9,1.7,0.4,1.6,12.5,20.5,4.5,4.5,0,1.7,1.3,2.2,3.7,2.8,0.4,0.1,0.26,0.4948,0.2102,0.295,0.0875,1.3475,0.1838,0.8859,0.1446,0.6067,0.1093,0.202,1.9485,0.1973,0.2065,0.2065,0.2065,0.408,0,0.3527,0.1861,0.4313,1.3781,0.1773,4.8806,0.1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4919,131,82,26,31,136,106,267,212,0,19,0,19,114,114,101,164,5.8,3.5,0.5,0.6,2.6,2,5.2,4,0,0.8,0,0.8,2.2,2.2,2,3.2
36,New York,NY,36103,Suffolk County,36103110300,"Census Tract 1103; Suffolk County; New York",2.025446304168,4869,562,2087,220,2060,219,222,109,176,80,221,99,46,35,56,54,1143,194,762,174,314,131,44,43,32,61,380,776,2,17,0,13,0,18,0,13,6,5,4.6,2.2,6.8,3.1,10.7,4.7,1.2,0.9,1.2,1.1,23.5,3.9,15.7,2.8,6.4,2.5,2.1,2.1,0.7,1.3,7.8,15.9,0.1,0.8,0,1.9,0,0.9,0,1.9,0.1,0.1,0.0641,0.6444,0.0378,0.0325,0.1227,0.9015,0.0779,0.8254,0.2253,0.1185,0.2345,0.2753,1.679,0.1078,0.1226,0.1226,0.1226,0.1774,0,0,0,0.2617,0.4391,0.0141,3.1422,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4631,57,65,6,7,268,181,32,24,0,13,0,13,65,69,9,10,2.8,3.1,0.1,0.1,5.5,3.6,0.7,0.5,0,0.8,0,0.8,1.3,1.4,0.2,0.2
36,New York,NY,36103,Suffolk County,36103110401,"Census Tract 1104.01; Suffolk County; New York",1.42026076292,2216,291,910,94,883,99,199,109,118,52,148,68,19,15,26,33,600,106,425,130,145,60,18,26,18,49,87,413,0,18,5,8,0,18,5,8,0,13,9,4.8,10.1,4,16.8,7.5,1.2,0.9,1.2,1.5,27.1,4.4,19.2,4.1,6.5,2.6,2,2.9,0.8,2.3,3.9,18.6,0,2,0.5,0.9,0,2,0.6,0.9,0,0.6,0.2147,0.8284,0.1651,0.0325,0.1227,1.3634,0.1884,0.9125,0.4352,0.1242,0.2248,0.2942,1.9909,0.2151,0.0368,0.0368,0.0368,0,0.714,0,0.0276,0,0.7416,0.0384,4.1327,0.049,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1490,5,8,8,12,47,41,8,12,0,13,0,13,17,13,7,9,0.6,0.9,0.4,0.5,2.1,1.9,0.4,0.6,0,1.8,0,1.8,0.8,0.6,0.3,0.4
36,New York,NY,36103,Suffolk County,36103110402,"Census Tract 1104.02; Suffolk County; New York",0.790293650904,3523,514,1345,140,1304,129,138,73,223,158,213,90,60,43,15,19,612,106,782,210,261,94,13,23,14,55,577,631,19,34,0,13,0,18,10,16,0,13,3.9,2,11.4,7.5,16.3,6.7,2.4,1.7,0.4,0.5,17.4,2.8,22.2,3.8,7.4,2.6,1,1.8,0.4,1.7,16.4,17.8,1.4,2.5,0,2.9,0,1.4,0.8,1.3,0,0.4,0.0453,0.8729,0.1505,0.0802,0.0359,1.1848,0.1437,0.5286,0.6372,0.1826,0.1182,0.202,1.6686,0.1053,0.2689,0.2689,0.2689,0.2702,0,0,0.0352,0,0.3054,0.0074,3.4277,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796,42,32,23,38,126,95,134,96,0,13,0,13,58,44,236,280,3.2,2.4,0.7,1,3.6,2.4,3.8,2.7,0,1.1,0,1.1,1.6,1.3,6.7,7.4
36,New York,NY,36103,Suffolk County,36103110501,"Census Tract 1105.01; Suffolk County; New York",2.129888439576,3236,432,1169,135,1109,148,360,243,72,50,180,72,80,72,12,20,603,93,594,144,293,94,40,46,42,76,264,601,0,18,0,13,21,22,10,15,0,13,11.1,7.4,3.7,2.4,16.2,6.1,3.2,2.9,0.4,0.6,18.6,3.6,18.4,3.6,9.1,2.6,3.6,4.1,1.3,2.4,8.2,18.5,0,1.5,0,3.4,1.9,2,0.9,1.4,0,0.4,0.2822,0.3128,0.1465,0.1233,0.0359,0.9007,0.0777,0.5993,0.3751,0.3084,0.4082,0.3724,2.0634,0.2509,0.1328,0.1328,0.1328,0,0,0.4255,0.0407,0,0.4662,0.0156,3.5631,0.0203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4244,0,13,0,13,87,105,148,147,0,13,0,13,0,13,29,43,0,3.5,0,1.2,2.7,3.1,4.6,4.6,0,1.2,0,1.2,0,1.2,0.9,1.3
36,New York,NY,36103,Suffolk County,36103110502,"Census Tract 1105.02; Suffolk County; New York",1.494717830906,2822,368,1003,98,962,112,143,117,32,31,202,86,97,66,50,48,406,89,611,119,292,73,10,19,0,52,505,484,0,18,0,13,18,26,35,28,8,3,5.1,4.1,2,2,21,8.6,4.8,3.5,1.8,1.8,14.4,2.6,21.7,2.5,10.3,2.8,1,2,0,1.9,17.9,17,0,1.8,0,3.9,1.9,2.7,3.6,3,0.3,0.1,0.0787,0.1214,0.3079,0.2199,0.1995,0.9274,0.0823,0.3562,0.6081,0.4161,0.1182,0,1.4986,0.0667,0.2885,0.2885,0.2885,0,0,0.4255,0.1815,0.3787,0.9857,0.0785,3.7002,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4124,89,48,95,147,170,160,75,92,0,13,0,13,165,177,0,13,9.3,5.1,3.4,4.9,6,5.6,2.7,3.2,0,1.4,0,1.4,5.8,6.2,0,1.4
36,New York,NY,36103,Suffolk County,36103110601,"Census Tract 1106.01; Suffolk County; New York",1.506222898302,4544,511,1926,213,1878,217,267,150,21,32,445,166,19,30,146,132,1294,305,750,120,563,190,88,93,48,85,548,697,136,109,43,64,0,18,55,53,0,13,5.9,3.2,0.9,1.4,23.7,8.4,0.5,0.8,3.2,2.9,28.5,6.1,16.5,2.7,12.4,3.8,4.7,4.9,1.1,1.9,12.1,15.3,7,5.6,2.2,3.3,0,1,2.9,2.8,0,0.3,0.1039,0.0405,0.3987,0.0157,0.4003,0.9591,0.0903,0.934,0.2614,0.5763,0.516,0.3424,2.6301,0.5979,0.2018,0.2018,0.2018,0.4706,0.8222,0,0.1486,0,1.4414,0.1982,5.2324,0.1519,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2864,64,59,16,26,403,288,66,75,0,13,0,13,63,75,0,13,3.4,3.2,0.4,0.6,8.9,5.9,1.5,1.7,0,0.9,0,0.9,1.4,1.6,0,0.9
